Atomic Composition,Al,Co,Cr,Cu,Fe,Hf,Mo,Nb,B,C,Li,Mn,Ta,Ti,Mg,Ni,Si,V,Sc,Sn,W,Zr,Zn,Y,Grosser,BCC,FCC,Im,HCP,B2,Group,Gp_Name,ROM Density,Measured Density,Vickers Hardness,Type_of_Test,Type of Test,Yield Strength (MPa),Tensile Strength (MPa),Elongation (%),ROM Modulus,Measured Modulus
AlCoCrCuNiTiY,14.29,14.29,14.29,14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,NA,14.29,NA,NA,NA,NA,NA,NA,NA,14.29,3,0,0,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,5.8,NA,NA,1,C,NA,1192,4,NA,37
AlCoFeNi,25,25,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.6,NA,456,1,C,964,NA,NA,173,NA
AlCoFeNiTiVZr,14.29,14.29,NA,NA,14.29,NA,NA,NA,NA,NA,NA,NA,NA,14.29,NA,14.29,NA,14.29,NA,NA,NA,14.29,NA,NA,3,1,0,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.2,NA,790,,NA,NA,NA,NA,143,NA
CoCuFeNi,NA,25,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.6,NA,NA,2,T,NA,480,15,188,NA
CoCuFeNiSn0.02,NA,24.88,NA,24.88,24.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.88,NA,NA,NA,0.5,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.6,NA,NA,2,T,NA,548,17,187,NA
CoCuFeNiSn0.04,NA,24.75,NA,24.75,24.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.75,NA,NA,NA,0.99,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.6,NA,NA,2,T,NA,594,18,NA,NA
CoCuFeNiSn0.05,NA,24.69,NA,24.69,24.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.69,NA,NA,NA,1.23,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.6,NA,NA,2,T,NA,615,20,NA,NA
CoCuFeNiSn0.07,NA,24.57,NA,24.57,24.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.57,NA,NA,NA,1.72,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.6,NA,NA,2,T,NA,632,19,NA,NA
CoCuFeNiSn0.1,NA,24.39,NA,24.39,24.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.39,NA,NA,NA,2.44,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.6,NA,NA,2,T,NA,602,5,NA,NA
CoCuFeNiSn0.2,NA,23.81,NA,23.81,23.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.81,NA,NA,NA,4.76,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.5,NA,NA,2,T,NA,261,2,NA,NA
CoCuFeNiSn0.5,NA,22.22,NA,22.22,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,NA,NA,NA,11.11,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.3,NA,NA,,NA,NA,NA,NA,NA,NA
AlCoCuFeNi,20,20,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,7,NA,536,,NA,NA,NA,NA,164,NA
AlCoCuFeNbNi,16.67,16.67,NA,16.67,16.67,NA,NA,16.67,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,7.4,NA,578,,NA,NA,NA,NA,NA,NA
AlCoCuFeNiSi,16.67,16.67,NA,16.67,16.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,16.67,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,5.9,NA,682,,NA,NA,NA,NA,145,NA
AlCoCuFeNiTi,16.67,16.67,NA,16.67,16.67,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,16.67,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.5,NA,626,,NA,NA,NA,NA,156,NA
AlCoCuFeNiZr,16.67,16.67,NA,16.67,16.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,NA,NA,16.67,NA,NA,3,1,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.9,NA,472,,NA,NA,NA,NA,NA,NA
CoCuFeMnNi,NA,20,NA,20,20,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.4,NA,208,2,T,NA,478,14,190,NA
CoCuFeMnNiSn0.03,NA,19.88,NA,19.88,19.88,NA,NA,NA,NA,NA,NA,19.88,NA,NA,NA,19.88,NA,NA,NA,0.6,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.4,NA,192,2,T,NA,465,18,NA,NA
CoCuFeMnNiSn0.05,NA,19.8,NA,19.8,19.8,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,19.8,NA,NA,NA,0.99,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.4,NA,205,2,T,NA,475,12,NA,NA
CoCuFeMnNiSn0.08,NA,19.69,NA,19.69,19.69,NA,NA,NA,NA,NA,NA,19.69,NA,NA,NA,19.69,NA,NA,NA,1.57,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.3,NA,219,2,T,NA,425,7,NA,NA
CoCuFeMnNiSn0.10,NA,19.61,NA,19.61,19.61,NA,NA,NA,NA,NA,NA,19.61,NA,NA,NA,19.61,NA,NA,NA,1.96,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.3,NA,253,2,T,NA,470,6,NA,NA
CoCuFeMnNiSn0.20,NA,19.23,NA,19.23,19.23,NA,NA,NA,NA,NA,NA,19.23,NA,NA,NA,19.23,NA,NA,NA,3.85,NA,NA,NA,NA,3,0,1,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.3,NA,319,2,T,NA,368,2,NA,NA
CrCuFeMnNi,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.1,NA,296,,NA,NA,NA,NA,204,NA
CrCuFeMoNi,NA,NA,20,20,20,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8.7,NA,263,,NA,NA,NA,NA,230,NA
AlCrCuFeNi0.6,21.74,NA,21.74,21.74,21.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.04,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.6,NA,496,,NA,NA,NA,NA,176,NA
AlCrCuFeNi0.8,20.83,NA,20.83,20.83,20.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.7,NA,486,,NA,NA,NA,NA,177,NA
AlCrCuFeNi,20,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.8,NA,495,,NA,NA,NA,NA,178,NA
AlCrCuFeNi1.2,19.23,NA,19.23,19.23,19.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.08,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.8,NA,407,,NA,NA,NA,NA,179,NA
AlCrCuFeNi1.4,18.52,NA,18.52,18.52,18.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.9,NA,367,,NA,NA,NA,NA,180,NA
AlCrCuFeNi2,16.67,NA,16.67,16.67,16.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,7.1,NA,NA,,NA,NA,NA,NA,182,NA
AlCrCuFeNiTi,16.67,NA,16.67,16.67,16.67,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,16.67,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.3,NA,NA,1,C,NA,1219,NA,NA,NA
Al0.2CrCuFeNi2,3.85,NA,19.23,19.23,19.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.46,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,8,NA,NA,,NA,NA,NA,NA,199,NA
Al0.4CrCuFeNi2,7.41,NA,18.52,18.52,18.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.04,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,7.8,NA,NA,,NA,NA,NA,NA,194,NA
Al0.6CrCuFeNi2,10.71,NA,17.86,17.86,17.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.71,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,7.5,NA,NA,,NA,NA,NA,NA,190,NA
Al0.8CrCuFeNi2,13.79,NA,17.24,17.24,17.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.48,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,7.3,NA,NA,,NA,NA,NA,NA,186,NA
Al1.2CrCuFeNi2,19.35,NA,16.13,16.13,16.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.26,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.9,NA,NA,,NA,NA,NA,NA,178,NA
AlCrCuFeNi,20,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.8,NA,342,,NA,NA,NA,NA,178,NA
Al1.125CuFe0.75NiTi1.125,22.5,NA,NA,20,15,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,5.9,NA,516,1,C,980,1326,7,140,145
Al22.5Cu20Fe15Ni20Ti22.5,22.22,NA,NA,20.2,15.15,NA,NA,NA,NA,NA,NA,NA,NA,22.22,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,5.9,NA,516,1,C,980,1326,7,140,145
AlCuFeNiTi,20,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,6.1,NA,516,1,C,1074,1617,8,145,146
AlCuNiTi,25,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,2,3d TM HEAS and CCAs in the Al-Co-Cr-Cu-Fe-Mn-Ni system and derivates ,5.7,NA,537,1,C,300,536,1,129,108
AlLi0.5MgSn0.2Zn0.5,31.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.62,NA,NA,NA,31.25,NA,NA,NA,NA,6.25,NA,NA,15.62,NA,3,0,1,1,0,0,3,Light metal base HEAs and CCAs ,2.9,NA,NA,1,C,546,546,NA,NA,NA
AlLiMg0.5ScTi1.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,30,10,NA,NA,NA,20,NA,NA,NA,NA,NA,3,0,1,0,1,0,3,Light metal base HEAs and CCAs ,2.7,NA,591,,NA,NA,NA,NA,69,NA
AlLiMgSnZn,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,20,NA,NA,20,NA,3,0,1,1,1,0,3,Light metal base HEAs and CCAs ,3.9,NA,NA,1,C,600,615,1,NA,NA
Al8Li0.5Mg0.5Sn0.5Zn0.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,5,NA,3,0,1,1,0,0,3,Light metal base HEAs and CCAs ,3,NA,NA,1,C,415,836,16,NA,NA
Al8Cu0.5Li0.5Mg0.5Zn0.5,80,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,3,0,1,1,0,0,3,Light metal base HEAs and CCAs ,NA,NA,NA,1,C,488,879,17,NA,NA
AlCu0.2Li0.5MgZn0.5,31.25,NA,NA,6.25,NA,NA,NA,NA,NA,NA,15.62,NA,NA,NA,31.25,NA,NA,NA,NA,NA,NA,NA,15.62,NA,3,0,0,1,0,0,3,Light metal base HEAs and CCAs ,2.7,NA,NA,,NA,NA,NA,NA,NA,NA
AlCu0.5Li0.5MgSn0.2,31.25,NA,NA,15.62,NA,NA,NA,NA,NA,NA,15.62,NA,NA,NA,31.25,NA,NA,NA,NA,6.25,NA,NA,NA,NA,3,0,0,1,0,0,3,Light metal base HEAs and CCAs ,3,NA,NA,,NA,NA,NA,NA,NA,NA
AlCr0.5NbTiV,22.22,NA,11.11,NA,NA,NA,NA,22.22,NA,NA,NA,NA,NA,22.22,NA,NA,NA,22.22,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,5.6,NA,NA,1,C,1300,1430,1,124,NA
AlCrNbTiV,20,NA,20,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,5.8,NA,NA,1,C,1550,1570,1,NA,NA
AlCr1.5NbTiV,18.18,NA,27.27,NA,NA,NA,NA,18.18,NA,NA,NA,NA,NA,18.18,NA,NA,NA,18.18,NA,NA,NA,NA,NA,NA,4,0,1,1,0,0,4,Refractory metal base HEAs and CCAs ,5.9,NA,NA,1,C,1700,1700,1,NA,NA
Al0.4Hf0.6NbTaTiZr,8,NA,NA,NA,NA,12,NA,20,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,9.1,NA,500,1,C,1841,2269,10,110,NA
Al0.3HfNbTaTiZr,5.66,NA,NA,NA,NA,18.87,NA,18.87,NA,NA,NA,NA,18.87,18.87,NA,NA,NA,NA,NA,NA,NA,18.87,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,9.6,9.5,353,1,C,1188,NA,50,108,63
Al0.5HfNbTaTiZr,9.09,NA,NA,NA,NA,18.18,NA,18.18,NA,NA,NA,NA,18.18,18.18,NA,NA,NA,NA,NA,NA,NA,18.18,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,9.3,9.34,396,1,C,1302,NA,46,107,97
Al0.75HfNbTaTiZr,13.04,NA,NA,NA,NA,17.39,NA,17.39,NA,NA,NA,NA,17.39,17.39,NA,NA,NA,NA,NA,NA,NA,17.39,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,9.1,9.3,427,1,C,1415,NA,30,105,102
AlMo0.5NbTa0.5TiZr,20,NA,NA,NA,NA,NA,10,20,NA,NA,NA,NA,10,20,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,7.1,NA,591,1,C,2000,2368,10,123,NA
Al0.25MoNbTiV,5.88,NA,NA,NA,NA,NA,23.53,23.53,NA,NA,NA,NA,NA,23.53,NA,NA,NA,23.53,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,7.1,NA,460,1,C,1250,NA,13,164,NA
Al0.5MoNbTiV,11.11,NA,NA,NA,NA,NA,22.22,22.22,NA,NA,NA,NA,NA,22.22,NA,NA,NA,22.22,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,6.8,NA,487,1,C,1625,NA,11,158,NA
Al0.75MoNbTiV,15.79,NA,NA,NA,NA,NA,21.05,21.05,NA,NA,NA,NA,NA,21.05,NA,NA,NA,21.05,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,6.6,NA,517,1,C,1260,NA,8,154,NA
AlMoNbTiV,20,NA,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,6.4,NA,537,1,C,1375,NA,3,150,NA
Al0.25NbTaTiV,5.88,NA,NA,NA,NA,NA,NA,23.53,NA,NA,NA,NA,23.53,23.53,NA,NA,NA,23.53,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,8.8,NA,NA,1,C,1330,NA,NA,130,92
Al0.5NbTaTiV,11.11,NA,NA,NA,NA,NA,NA,22.22,NA,NA,NA,NA,22.22,22.22,NA,NA,NA,22.22,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,8.5,NA,NA,1,C,1014,NA,NA,127,97
AlNbTaTiV,20,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,7.9,NA,NA,1,C,993,NA,NA,121,101
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,16,28,NA,NA,NA,4,NA,NA,NA,26,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,7.7,NA,500,1,C,1965,2061,5,110,NA
Al0.5NbTa0.8Ti1.5V0.2Zr,10,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,16,30,NA,NA,NA,4,NA,NA,NA,20,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,7.6,NA,530,1,C,2035,2105,5,111,NA
Al0.3NbTaTi1.4Zr1.3,6,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,28,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,8.1,NA,490,1,C,1965,2054,5,113,NA
AlNb1.5Ta0.5Ti1.5Zr0.5,20,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,10,30,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,6.8,NA,408,1,C,1280,1367,4,106,NA
AlNbTiV,25,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,25,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,5.5,NA,448,1,C,1020,1318,5,105,NA
AlNbTiV,25,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,25,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,5.5,NA,NA,1,C,1000,1280,5,105,NA
CrHfNbTiZr,NA,NA,20,NA,NA,20,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,8.2,NA,464,1,C,1375,2130,3,NA,112
CrMo0.5NbTa0.5TiZr,NA,NA,20,NA,NA,NA,10,20,NA,NA,NA,NA,10,20,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,8,NA,540,1,C,1595,2046,5,NA,NA
CrNbTiVZr,NA,NA,20,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,20,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,6.6,NA,482,1,C,1298,NA,3,NA,NA
CrNbTiZr,NA,NA,25,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,6.6,NA,418,1,C,1260,NA,6,NA,NA
FeMoNiTiVZr,NA,NA,NA,NA,16.67,NA,16.67,NA,NA,NA,NA,NA,NA,16.67,NA,16.67,NA,16.67,NA,NA,NA,16.67,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7.1,NA,740,,NA,NA,NA,NA,NA,NA
Hf0.5Mo0.5NbTiZr,NA,NA,NA,NA,NA,12.5,12.5,25,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7.9,NA,400,1,C,1178,NA,25,NA,NA
Hf0.5Mo0.5NbSi0.1TiZr,NA,NA,NA,NA,NA,12.2,12.2,24.39,NA,NA,NA,NA,NA,24.39,NA,NA,2.44,NA,NA,NA,NA,24.39,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7.7,NA,442,1,C,1365,NA,28,NA,NA
Hf0.5Mo0.5NbSi0.3TiZr,NA,NA,NA,NA,NA,11.63,11.63,23.26,NA,NA,NA,NA,NA,23.26,NA,NA,6.98,NA,NA,NA,NA,23.26,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7.5,NA,494,1,C,1428,NA,23,NA,NA
Hf0.5Mo0.5NbSi0.5TiZr,NA,NA,NA,NA,NA,11.11,11.11,22.22,NA,NA,NA,NA,NA,22.22,NA,NA,11.11,NA,NA,NA,NA,22.22,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7.2,NA,524,1,C,1605,NA,23,NA,NA
Hf0.5Mo0.5NbSi0.7TiZr,NA,NA,NA,NA,NA,10.64,10.64,21.28,NA,NA,NA,NA,NA,21.28,NA,NA,14.89,NA,NA,NA,NA,21.28,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7,NA,580,1,C,1604,NA,12,NA,NA
Hf0.5Mo0.5NbSi0.9TiZr,NA,NA,NA,NA,NA,10.2,10.2,20.41,NA,NA,NA,NA,NA,20.41,NA,NA,18.37,NA,NA,NA,NA,20.41,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,6.8,NA,640,1,C,1677,NA,9,NA,NA
Hf0.5Mo0.5NbTiZrC0.1,NA,NA,NA,NA,NA,12.2,12.2,24.39,NA,2.44,NA,NA,NA,24.39,NA,NA,NA,NA,NA,NA,NA,24.39,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7.8,NA,NA,1,C,1183,2139,38,NA,NA
Hf0.5Mo0.5NbTiZrC0.3,NA,NA,NA,NA,NA,11.63,11.63,23.26,NA,6.98,NA,NA,NA,23.26,NA,NA,NA,NA,NA,NA,NA,23.26,NA,NA,4,1,0,1,0,0,4,Refractory metal base HEAs and CCAs ,7.7,NA,NA,1,C,1201,1965,33,NA,NA
HfMo0.25NbTaTiZr,NA,NA,NA,NA,NA,19.05,4.76,19.05,NA,NA,NA,NA,19.05,19.05,NA,NA,NA,NA,NA,NA,NA,19.05,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,9.9,9.9,395,1,C,1112,NA,50,121,96
HfMo0.5NbTaTiZr,NA,NA,NA,NA,NA,18.18,9.09,18.18,NA,NA,NA,NA,18.18,18.18,NA,NA,NA,NA,NA,NA,NA,18.18,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,9.9,10,480,1,C,1317,NA,50,130,102
HfMo0.75NbTaTiZr,NA,NA,NA,NA,NA,17.39,13.04,17.39,NA,NA,NA,NA,17.39,17.39,NA,NA,NA,NA,NA,NA,NA,17.39,NA,NA,4,1,0,0,0,0,4,Refractory metal base HEAs and CCAs ,9.9,10,492,1,C,1373,NA,50,139,109
